id,subject_course,department,title,section,credit_hours,capacity,enrolled,seats_available,instructors,block,days,begin_time,end_time,meeting_time
90213,CHNS0301,CHNS,Advanced Chinese I,A,1,20,11,9,Mairead Harris,MoFr1115,MoFr,1115,1205,MoFr 1115-1205 MNR 208; TuTh 1115-1205 MNR 208
90214,CHNS0411,CHNS,Classical Chinese I,A,1,18,8,10,Kun You,MoWeFr0840,MoWeFr,0840,0930,MoWeFr 0840-0930 MNR 217
90215,CHNS0425,CHNS,Chns Social Issues Adv Rdngs,A,1,18,3,15,Tian Zhang,MoWeFr1310,MoWeFr,1310,1400,MoWeFr 1310-1400 MNR 406
90217,CHNS0500,CHNS,Independent Project,A,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
90218,CHNS0500,CHNS,Independent Project,B,1,99,0,99,Carrie Wiebe,Su1900,Su,1900,2029,Su 1900-2029
90221,CHNS0500,CHNS,Independent Project,D,1,99,0,99,Mairead Harris,Su1900,Su,1900,2029,Su 1900-2029
90371,CHNS0500,CHNS,Independent Project,E,1,99,0,99,Kun You,Su1900,Su,1900,2029,Su 1900-2029
90553,CHNS0500,CHNS,Independent Project,F,1,0,0,0,Chialan Wang,TBA,,,,TBA
91882,CHNS0500,CHNS,Independent Project,G,1,99,0,99,Tian Zhang,Su1900,Su,1900,2029,Su 1900-2029
90224,CHNS0700,CHNS,Senior Essay,A,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
90225,CHNS0700,CHNS,Senior Essay,B,1,99,0,99,Carrie Wiebe,Su1900,Su,1900,2029,Su 1900-2029
90228,CHNS0700,CHNS,Senior Essay,D,1,99,0,99,Mairead Harris,Su1900,Su,1900,2029,Su 1900-2029
90374,CHNS0700,CHNS,Senior Essay,E,1,99,0,99,Kun You,Su1900,Su,1900,2029,Su 1900-2029
90585,CHNS0700,CHNS,Senior Essay,F,1,99,0,99,Chialan Wang,Su0800,Su,0800,1659,Su 0800-1659
91883,CHNS0700,CHNS,Senior Essay,G,1,99,0,99,Tian Zhang,Su0800,Su,0800,1659,Su 0800-1659
91088,CHNS0701,CHNS,Senior Thesis Research,A,1,99,0,99,,Su0800,Su,0800,1659,Su 0800-1659
91487,CHNS0701,CHNS,Senior Thesis Research,B,1,99,0,99,Carrie Wiebe,Su0800,Su,0800,0850,Su 0800-0850
91090,CHNS0701,CHNS,Senior Thesis Research,D,1,99,0,99,Mairead Harris,Su0800,Su,0800,1659,Su 0800-1659
91091,CHNS0701,CHNS,Senior Thesis Research,E,1,99,0,99,Kun You,Su1900,Su,1900,2029,Su 1900-2029
91745,CHNS0701,CHNS,Senior Thesis Research,F,1,99,0,99,Chialan Wang,Su1900,Su,1900,2029,Su 1900-2029
91796,CHNS0701,CHNS,Senior Thesis Research,G,1,99,0,99,Tian Zhang,Su1900,Su,1900,2029,Su 1900-2029
92685,CLAS0132,CLAS,History of Rome,A,1,42,25,17,Jane Chaplin,MoWe1310,MoWe,1310,1400,MoWe 1310-1400 AXT 201
92686,CLAS0132,CLAS,Discussion,X,0,14,9,5,Jane Chaplin,Th1310,Th,1310,1400,Th 1310-1400 AXT 305
92687,CLAS0132,CLAS,Discussion,Y,0,14,9,5,Jane Chaplin,Fr1115,Fr,1115,1205,Fr 1115-1205 AXT 305
92688,CLAS0132,CLAS,Discussion,Z,0,14,7,7,Jane Chaplin,Fr1310,Fr,1310,1400,Fr 1310-1400 AXT 305
91335,CLAS0150,CLAS,Greek and Roman Epic Poetry,A,1,45,18,27,Marc Witkin,MoWe1415,MoWe,1415,1530,MoWe 1415-1530 AXT 201
92149,CLAS0150,CLAS,Discussion,X,0,15,6,9,Marc Witkin,Fr0840,Fr,0840,0930,Fr 0840-0930 AXT 110
92150,CLAS0150,CLAS,Discussion,Y,0,15,6,9,Marc Witkin,Fr0945,Fr,0945,1035,Fr 0945-1035 AXT 110
92151,CLAS0150,CLAS,Discussion,Z,0,15,6,9,Marc Witkin,Fr1115,Fr,1115,1205,Fr 1115-1205 AXT 110
92034,CLAS0276,CLAS,Roman Philosophy,A,1,30,31,-1,Christopher Star,MoWe0945,MoWe,0945,1100,MoWe 0945-1100 AXT 302
90082,CLAS0450,CLAS,History of Class Lit,A,1,10,3,7,Randall Ganiban,MoWe1245,MoWe,1245,1400,MoWe 1245-1400 AXT 305
90263,CLAS0500,CLAS,Independent Study,A,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
90264,CLAS0500,CLAS,Independent Study,B,1,99,0,99,Jane Chaplin,Su1900,Su,1900,2029,Su 1900-2029
90265,CLAS0500,CLAS,Independent Study,C,1,99,0,99,Marc Witkin,Su1900,Su,1900,2029,Su 1900-2029
90556,CLAS0500,CLAS,Independent Study,D,1,99,0,99,Randall Ganiban,Su1900,Su,1900,2029,Su 1900-2029
90266,CLAS0500,CLAS,Independent Study,E,1,99,1,98,Maria Hatjigeorgiou,Su1900,Su,1900,2029,Su 1900-2029
90536,CLAS0500,CLAS,Independent Study,F,1,99,0,99,Christopher Star,Su1900,Su,1900,2029,Su 1900-2029
90093,CLAS0505,CLAS,Ind Senior Project,A,1,99,0,99,,Su1900,Su,1900,2029,Su 1900-2029
90094,CLAS0505,CLAS,Ind Senior Project,B,1,99,0,99,Jane Chaplin,Su1900,Su,1900,2029,Su 1900-2029
90096,CLAS0505,CLAS,Ind Senior Project,C,1,99,0,99,Marc Witkin,Su1900,Su,1900,2029,Su 1900-2029
90097,CLAS0505,CLAS,Ind Senior Project,D,1,99,0,99,Randall Ganiban,Su1900,Su,1900,2029,Su 1900-2029
90559,CLAS0505,CLAS,Ind Senior Project,F,1,99,0,99,Christopher Star,Su0800,Su,0800,1659,Su 0800-1659
90098,CLAS0700,CLAS,Sr Essay Classics/Cy,A,1,99,0,99,,Su0800,Su,0800,1659,Su 0800-1659
90357,CLAS0700,CLAS,Sr Essay Classics/Cy,B,1,99,0,99,Jane Chaplin,Su0800,Su,0800,1659,Su 0800-1659
90358,CLAS0700,CLAS,Sr Essay Classics/Cy,C,1,99,0,99,Marc Witkin,Su0800,Su,0800,1659,Su 0800-1659
90359,CLAS0700,CLAS,Sr Essay Classics/Cy,D,1,99,0,99,Randall Ganiban,Su0800,Su,0800,1659,Su 0800-1659
90537,CLAS0700,CLAS,Sr Essay Classics/Cy,F,1,99,0,99,Christopher Star,Su0800,Su,0800,1659,Su 0800-1659
90087,CLAS0701,CLAS,Hist of Class Lit,A,1,10,2,8,Randall Ganiban,MoWe1245,MoWe,1245,1400,MoWe 1245-1400 AXT 305
92712,CMLT0201,CMLT,Science Fiction Global Context,A,1,20,11,9,Timothy Portice,TuTh1415,TuTh,1415,1530,TuTh 1415-1530 FIC CK2
90851,CMLT0500,CMLT,Independent Study,B,1,99,0,99,Stefano Mula,1900,,1900,2029, 1900-2029
91070,CMLT0500,CMLT,Independent Study,D,1,99,0,99,Armelle Crouzieres-Ingenthron,Su0800,Su,0800,1659,Su 0800-1659
91116,CMLT0700,CMLT,Senior Thesis,B,1,99,0,99,Natalie Eppelsheimer,Su0800,Su,0800,1659,Su 0800-1659
91151,CMLT0700,CMLT,Senior Thesis,C,1,99,0,99,Irina Feldman,Su0800,Su,0800,1659,Su 0800-1659
91244,CMLT0700,CMLT,Senior Thesis,D,1,99,0,99,Antonia Losano,Su0800,Su,0800,1659,Su 0800-1659
91246,CMLT0700,CMLT,Senior Thesis,E,1,99,0,99,Nicolas Poppe,Su0800,Su,0800,1659,Su 0800-1659
91281,CMLT0700,CMLT,Senior Thesis,F,1,99,0,99,Marion Wells,Su1900,Su,1900,2029,Su 1900-2029
91318,CMLT0700,CMLT,Senior Thesis,G,1,99,0,99,Julien Weber,Su1900,Su,1900,2029,Su 1900-2029
91573,CMLT0700,CMLT,Senior Thesis,H,1,99,0,99,Roger Russi,Su1900,Su,1900,2029,Su 1900-2029
91575,CMLT0700,CMLT,Senior Thesis,I,1,99,0,99,Patricia Saldarriaga,Su0800,Su,0800,1659,Su 0800-1659
91682,CMLT0700,CMLT,Senior Thesis,J,1,99,0,99,Benjamin Graves,Su1900,Su,1900,2029,Su 1900-2029
93051,CMLT0700,CMLT,Senior Thesis,K,1,99,1,98,Chialan Wang,Su0800,Su,0800,0850,Su 0800-0850
91799,CMLT0700,CMLT,Senior Thesis,T,1,99,0,99,Luis Castaneda,TBA,,,,TBA
91468,CSCI0145,CSCI,Introduction to Computing,A,1,30,10,20,Amy Briggs,TuTh1115,TuTh,1115,1230,TuTh 1115-1230 75SHS 102
91514,CSCI0145,CSCI,Introduction to Computing,B,1,30,4,26,Amy Briggs,MoWe1245,MoWe,1245,1400,MoWe 1245-1400 75SHS 102
